,address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y,geometry
0,서울 강서구 방화동 886,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,334,1205763710,1522-3232,스타벅스 김포공항국제선점,http://place.map.kakao.com/1205763710,서울 강서구 하늘길 38,126.800503805011,37.5660449035456,POINT (126.800503805011 37.5660449035456)
2,서울 강서구 방화동 645-6,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,359,697145793,1522-3232,스타벅스 김포공항DT점,http://place.map.kakao.com/697145793,서울 강서구 개화동로 517,126.80605506972896,37.56630192697181,POINT (126.80605506972896 37.56630192697181)
4,서울 강서구 공항동 32-3,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,273,1001458936,1522-3232,스타벅스 송정역점,http://place.map.kakao.com/1001458936,서울 강서구 공항대로 38,126.81148453212424,37.5610083651335,POINT (126.81148453212424 37.5610083651335)
6,서울 강서구 방화동 293-4,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,277,482613052,1522-3232,스타벅스 방화DT,http://place.map.kakao.com/482613052,서울 강서구 방화대로 375,126.81648812269275,37.57445728526807,POINT (126.81648812269275 37.57445728526807)
8,서울 강서구 마곡동 728-234,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,233,1143075069,1522-3232,스타벅스 마곡역,http://place.map.kakao.com/1143075069,서울 강서구 공항대로 168,126.82599715501443,37.55934398119595,POINT (126.82599715501443 37.55934398119595)
9,서울 강서구 마곡동 769,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,270,644567874,1522-3232,스타벅스 원그로브점,http://place.map.kakao.com/644567874,서울 강서구 공항대로 165,126.82473836880939,37.56089363417262,POINT (126.82473836880939 37.56089363417262)
11,서울 강서구 마곡동 768-1,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,309,1372069901,1522-3232,스타벅스 마곡케이스퀘어점,http://place.map.kakao.com/1372069901,서울 강서구 마곡중앙로 105-7,126.82673864845839,37.56220303019463,POINT (126.82673864845839 37.56220303019463)
12,서울 강서구 마곡동 731-62,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,131,1578796891,1522-3232,스타벅스 마곡나루공원,http://place.map.kakao.com/1578796891,서울 강서구 마곡중앙5로 47,126.8222691482277,37.5669194030235,POINT (126.8222691482277 37.5669194030235)
13,서울 강서구 마곡동 759-2,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,172,800218953,1522-3232,스타벅스 마곡웰튼,http://place.map.kakao.com/800218953,서울 강서구 마곡중앙5로 22,126.825305203297,37.5672825304792,POINT (126.825305203297 37.5672825304792)
14,서울 강서구 마곡동 759-3,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,245,1433534125,1522-3232,스타벅스 마곡나루역점,http://place.map.kakao.com/1433534125,서울 강서구 마곡중앙로 161-17,126.826136318604,37.5681306923844,POINT (126.826136318604 37.5681306923844)
15,서울 양천구 신월동 205-48,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,350,26900383,1522-3232,스타벅스 신월IC DT점,http://place.map.kakao.com/26900383,서울 양천구 남부순환로 430,126.832131673807,37.5294757580385,POINT (126.832131673807 37.5294757580385)
17,서울 양천구 신월동 52-14,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,307,964935317,1522-3232,스타벅스 신월동DT,http://place.map.kakao.com/964935317,서울 양천구 남부순환로 319,126.82709273313,37.5382766629732,POINT (126.82709273313 37.5382766629732)
19,서울 강서구 마곡동 773-2,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,193,1010426293,1522-3232,스타벅스 마곡GMG,http://place.map.kakao.com/1010426293,서울 강서구 마곡중앙6로 16,126.829581367925,37.5604123842333,POINT (126.829581367925 37.5604123842333)
25,서울 구로구 오류동 271,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,186,895620917,1522-3232,스타벅스 구로오류DT점,http://place.map.kakao.com/895620917,서울 구로구 서해안로 2233,126.83447666279501,37.48811218152662,POINT (126.83447666279501 37.48811218152662)
28,서울 강서구 화곡동 1073-10,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,214,26617152,1522-3232,스타벅스 화곡동점,http://place.map.kakao.com/26617152,서울 강서구 화곡로 142,126.83740226502186,37.54056723191606,POINT (126.83740226502186 37.54056723191606)
29,서울 강서구 화곡동 1170,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,155,49282068,1522-3232,스타벅스 강서우장산점,http://place.map.kakao.com/49282068,서울 강서구 강서로 231,126.836118023996,37.5462444503704,POINT (126.836118023996 37.5462444503704)
30,서울 강서구 내발산동 719-6,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,87,1082320725,1522-3232,스타벅스 우장산역,http://place.map.kakao.com/1082320725,서울 강서구 강서로 267,126.83585283195558,37.54952281316778,POINT (126.83585283195558 37.54952281316778)
31,서울 강서구 내발산동 668,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,157,1856894636,1522-3232,스타벅스 내발산점,http://place.map.kakao.com/1856894636,서울 강서구 강서로 323,126.836552262812,37.5546702794501,POINT (126.836552262812 37.5546702794501)
32,서울 강서구 마곡동 801-2,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,38,1190071802,1522-3232,스타벅스 발산역사거리점,http://place.map.kakao.com/1190071802,서울 강서구 공항대로 248,126.8351224270735,37.55848040769141,POINT (126.8351224270735 37.55848040769141)
33,서울 강서구 마곡동 727-500,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,224,76277836,1522-3232,스타벅스 마곡사이언스타워R,http://place.map.kakao.com/76277836,서울 강서구 마곡동로 62,126.83384561061793,37.56059595846078,POINT (126.83384561061793 37.56059595846078)
35,서울 강서구 마곡동 779,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,234,1371664177,1522-3232,스타벅스 마곡보타닉게이트점,http://place.map.kakao.com/1371664177,서울 강서구 마곡동로 166,126.836784495847,37.5690919380724,POINT (126.836784495847 37.5690919380724)
36,서울 구로구 오류동 55-50,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,343,25115111,1522-3232,스타벅스 오류동역점,http://place.map.kakao.com/25115111,서울 구로구 경인로 216,126.844857947147,37.4962245157872,POINT (126.844857947147 37.4962245157872)
37,서울 강서구 화곡동 1051-27,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,214,1186321777,1522-3232,스타벅스 화곡역8번출구점,http://place.map.kakao.com/1186321777,서울 강서구 강서로 179,126.839321974376,37.5423628473275,POINT (126.839321974376 37.5423628473275)
41,서울 강서구 내발산동 647,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,80,1165062761,1522-3232,스타벅스 발산역5번출구점,http://place.map.kakao.com/1165062761,서울 강서구 강서로52길 43,126.8403634966411,37.55804161709554,POINT (126.8403634966411 37.55804161709554)
42,서울 강서구 등촌동 689,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,120,144752310,,스타벅스 강서NC,http://place.map.kakao.com/144752310,서울 강서구 강서로56길 17,126.84054866204121,37.559843859714796,POINT (126.84054866204121 37.559843859714796)
43,서울 강서구 등촌동 678-14,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,207,23325994,1522-3232,스타벅스 발산역점,http://place.map.kakao.com/23325994,서울 강서구 강서로 388,126.83911937699966,37.56028791382789,POINT (126.83911937699966 37.56028791382789)
44,서울 강서구 등촌동 668-9,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,344,26555748,1522-3232,스타벅스 등촌,http://place.map.kakao.com/26555748,서울 강서구 공항대로 329,126.84431303151688,37.55820907037809,POINT (126.84431303151688 37.55820907037809)
46,서울 강서구 마곡동 727-26,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,95,1529498058,1522-3232,스타벅스 양천향교역,http://place.map.kakao.com/1529498058,서울 강서구 강서로 463,126.84047247196114,37.56691296769367,POINT (126.84047247196114 37.56691296769367)
